sku,product_name,category,current_stock,reorder_point,unit_cost,selling_price,warehouse_location,last_restock_date,supplier
SKU001,Widget A,Electronics,450,100,15.00,29.99,Warehouse A,2024-01-10,TechSupply Inc
SKU002,Widget B,Electronics,325,75,20.00,39.99,Warehouse B,2024-01-08,ElectroGoods Ltd
SKU003,Widget C,Electronics,200,50,30.00,59.99,Warehouse A,2024-01-12,TechSupply Inc
SKU004,Gadget X,Accessories,575,150,25.00,49.99,Warehouse C,2024-01-05,AccessoryWorld
SKU005,Gadget Y,Accessories,800,200,10.00,19.99,Warehouse B,2024-01-09,QuickParts Co
SKU006,Device M,Electronics,150,40,45.00,89.99,Warehouse A,2024-01-11,PremiumTech
SKU007,Device N,Electronics,90,25,55.00,109.99,Warehouse C,2024-01-07,PremiumTech
SKU008,Accessory P,Accessories,1200,300,5.00,9.99,Warehouse B,2024-01-13,AccessoryWorld
SKU009,Accessory Q,Accessories,650,175,8.00,15.99,Warehouse A,2024-01-06,QuickParts Co
SKU010,Tool R,Tools,300,80,12.00,24.99,Warehouse C,2024-01-14,ToolMaster Inc
SKU011,Tool S,Tools,225,60,18.00,36.99,Warehouse B,2024-01-10,ToolMaster Inc
SKU012,Supply T,Supplies,1500,400,2.00,4.99,Warehouse A,2024-01-15,BulkSupplies Ltd
SKU013,Supply U,Supplies,950,250,3.50,7.49,Warehouse C,2024-01-11,BulkSupplies Ltd
SKU014,Component V,Components,400,100,22.00,44.99,Warehouse B,2024-01-08,ComponentPro
SKU015,Component W,Components,275,70,28.00,56.99,Warehouse A,2024-01-12,ComponentPro
